state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Kentucky,KY,2050,JJA,ssp245,Medium emissions (SSP245),23.944137345257865,21.417976935462235,2.5261604097956307
Kentucky,KY,2051,JJA,ssp245,Medium emissions (SSP245),24.645400064765912,21.417976935462235,3.227423129303677
Kentucky,KY,2052,JJA,ssp245,Medium emissions (SSP245),23.722698954263425,21.417976935462235,2.304722018801186
Kentucky,KY,2053,JJA,ssp245,Medium emissions (SSP245),23.12467677685332,21.417976935462235,1.7066998413910852
Kentucky,KY,2054,JJA,ssp245,Medium emissions (SSP245),22.709651065805527,21.417976935462235,1.2916741303432888
Kentucky,KY,2055,JJA,ssp245,Medium emissions (SSP245),22.63552236412928,21.417976935462235,1.2175454286670466
Kentucky,KY,2056,JJA,ssp245,Medium emissions (SSP245),23.7533132058196,21.417976935462235,2.3353362703573652
Kentucky,KY,2057,JJA,ssp245,Medium emissions (SSP245),24.640870852638102,21.417976935462235,3.2228939171758677
Kentucky,KY,2058,JJA,ssp245,Medium emissions (SSP245),24.03287758107674,21.417976935462235,2.6149006456145
Kentucky,KY,2059,JJA,ssp245,Medium emissions (SSP245),23.86750803791148,21.417976935462235,2.4495311024492423
Kentucky,KY,2060,JJA,ssp245,Medium emissions (SSP245),23.215894367819015,21.417976935462235,1.7979174323567781
Kentucky,KY,2061,JJA,ssp245,Medium emissions (SSP245),24.423947131848408,21.417976935462235,3.005970196386174
Kentucky,KY,2062,JJA,ssp245,Medium emissions (SSP245),24.167519144025874,21.417976935462235,2.7495422085636396
Kentucky,KY,2063,JJA,ssp245,Medium emissions (SSP245),23.68840523754387,21.417976935462235,2.270428302081634
Kentucky,KY,2064,JJA,ssp245,Medium emissions (SSP245),22.696441044342123,21.417976935462235,1.278464108879885
Kentucky,KY,2065,JJA,ssp245,Medium emissions (SSP245),23.530085447895217,21.417976935462235,2.1121085124329793
Kentucky,KY,2066,JJA,ssp245,Medium emissions (SSP245),24.945231060556154,21.417976935462235,3.527254125093918
Kentucky,KY,2067,JJA,ssp245,Medium emissions (SSP245),23.272156631032097,21.417976935462235,1.8541796955698566
Kentucky,KY,2068,JJA,ssp245,Medium emissions (SSP245),23.932126184750796,21.417976935462235,2.514149249288561
Kentucky,KY,2069,JJA,ssp245,Medium emissions (SSP245),24.235757579593496,21.417976935462235,2.817780644131259
Kentucky,KY,2070,JJA,ssp245,Medium emissions (SSP245),22.913106650302158,21.417976935462235,1.4951297148399223
Kentucky,KY,2020,JJA,ssp585,High emissions (SSP585),22.83220207841429,22.83220207841429,0.0
Kentucky,KY,2021,JJA,ssp585,High emissions (SSP585),23.898642009746297,22.83220207841429,1.066439931332011
Kentucky,KY,2022,JJA,ssp585,High emissions (SSP585),23.438414154383565,22.83220207841429,0.6062120759692812
