state,state_abbr,year,scenario,scenario_label,tas_c,tas_2020_c,tas_change_from_2020_c,annual_max_tasmax_c,hot_days_30c,hot_days_30c_2020,hot_days_30c_change_from_2020,hot_days_35c,hot_days_35c_2020,hot_days_35c_change_from_2020
New Jersey,NJ,2037,ssp245,Medium emissions (SSP245),11.850384949189836,10.508633023199039,1.3417519259907984,33.41961783883405,12.073491794411002,4.794211873520577,7.279279920890425,0.0,0.0,0.0
New Jersey,NJ,2038,ssp245,Medium emissions (SSP245),11.992557801767061,10.508633023199039,1.4839247785680223,32.84399526695752,13.73126158516586,4.794211873520577,8.937049711645283,0.0,0.0,0.0
New Jersey,NJ,2039,ssp245,Medium emissions (SSP245),11.586441424319025,10.508633023199039,1.0778084011199864,32.648144312771436,11.183477692462425,4.794211873520577,6.389265818941848,0.0,0.0,0.0
New Jersey,NJ,2040,ssp245,Medium emissions (SSP245),10.874423274506704,10.508633023199039,0.36579025130766085,29.665891079622163,0.5541629448674742,4.794211873520577,-4.240048928653104,0.0,0.0,0.0
New Jersey,NJ,2041,ssp245,Medium emissions (SSP245),10.493277757222941,10.508633023199039,-0.015355265976098305,31.130117900471067,6.2555537564638675,4.794211873520577,1.4613418829432903,0.0,0.0,0.0
New Jersey,NJ,2042,ssp245,Medium emissions (SSP245),11.906774278837196,10.508633023199039,1.3981412556381578,31.258081955858007,6.671614610249147,4.794211873520577,1.8774027367285695,0.0,0.0,0.0
New Jersey,NJ,2043,ssp245,Medium emissions (SSP245),11.250060501518547,10.508633023199039,0.741427478319508,32.85274383593742,14.526629043933445,4.794211873520577,9.732417170412868,0.0,0.0,0.0
New Jersey,NJ,2044,ssp245,Medium emissions (SSP245),11.092216431264994,10.508633023199039,0.5835834080659532,32.922266606952405,9.38379120580874,4.794211873520577,4.589579332288162,0.0,0.0,0.0
New Jersey,NJ,2045,ssp245,Medium emissions (SSP245),11.817791957059974,10.508633023199039,1.3091589338609344,31.76485644357483,5.381965624551932,4.794211873520577,0.5877537510313542,0.0,0.0,0.0
New Jersey,NJ,2046,ssp245,Medium emissions (SSP245),11.813766237642472,10.508633023199039,1.3051332144434362,35.0929100762446,25.769659139090365,4.794211873520577,20.975447265569787,0.785086097873853,0.0,0.785086097873853
New Jersey,NJ,2047,ssp245,Medium emissions (SSP245),12.326669258035059,10.508633023199039,1.8180362348360177,30.47058749195339,3.213253893809672,4.794211873520577,-1.5809579797109052,0.0,0.0,0.0
New Jersey,NJ,2048,ssp245,Medium emissions (SSP245),11.459438408694606,10.508633023199039,0.9508053854955689,32.507075035944794,4.220137369043179,4.794211873520577,-0.5740745044773979,0.0,0.0,0.0
New Jersey,NJ,2049,ssp245,Medium emissions (SSP245),12.910408765763043,10.508633023199039,2.4017757425640034,33.2722746989883,19.706292131579236,4.794211873520577,14.912080258058658,0.0,0.0,0.0
New Jersey,NJ,2050,ssp245,Medium emissions (SSP245),11.334975407264755,10.508633023199039,0.8263423840657158,32.88809470082927,8.694924055519294,4.794211873520577,3.900712181998718,0.0,0.0,0.0
New Jersey,NJ,2051,ssp245,Medium emissions (SSP245),11.322286779526289,10.508633023199039,0.8136537563272498,31.68517798448098,10.317765178727987,4.794211873520577,5.523553305207409,0.0,0.0,0.0
New Jersey,NJ,2052,ssp245,Medium emissions (SSP245),11.646460330476895,10.508633023199039,1.1378273072778573,33.460874229379314,9.892168698448735,4.794211873520577,5.097956824928158,0.0,0.0,0.0
New Jersey,NJ,2053,ssp245,Medium emissions (SSP245),12.185037029571316,10.508633023199039,1.6764040063722723,33.23909232208864,13.519328849543529,4.794211873520577,8.725116976022951,0.0,0.0,0.0
New Jersey,NJ,2054,ssp245,Medium emissions (SSP245),11.727146155584991,10.508633023199039,1.2185131323859535,31.117885866626242,3.681983675055937,4.794211873520577,-1.1122281984646403,0.0,0.0,0.0
New Jersey,NJ,2055,ssp245,Medium emissions (SSP245),11.507280545747914,10.508633023199039,0.9986475225488777,31.413965770589375,6.368198674084917,4.794211873520577,1.5739868005643394,0.0,0.0,0.0
New Jersey,NJ,2056,ssp245,Medium emissions (SSP245),11.615163469030302,10.508633023199039,1.106530445831261,32.624851031370355,11.256387194776686,4.794211873520577,6.462175321256108,0.0,0.0,0.0
New Jersey,NJ,2057,ssp245,Medium emissions (SSP245),12.333875587325288,10.508633023199039,1.8252425641262493,31.36561288627791,11.389102376638832,4.794211873520577,6.594890503118253,0.0,0.0,0.0
New Jersey,NJ,2058,ssp245,Medium emissions (SSP245),12.151096729956565,10.508633023199039,1.6424637067575276,32.02090287172727,15.453215118549718,4.794211873520577,10.65900324502914,0.0,0.0,0.0
New Jersey,NJ,2059,ssp245,Medium emissions (SSP245),11.726186548274077,10.508633023199039,1.2175535250750367,34.123733064239055,11.49601940427338,4.794211873520577,6.701807530752802,0.18472098162249137,0.0,0.18472098162249137
New Jersey,NJ,2060,ssp245,Medium emissions (SSP245),12.016927792929838,10.508633023199039,1.5082947697307973,31.35571367717625,7.407100651078888,4.794211873520577,2.6128887775583105,0.0,0.0,0.0
New Jersey,NJ,2061,ssp245,Medium emissions (SSP245),11.841290333894705,10.508633023199039,1.332657310695662,32.38593542466359,18.82937711472519,4.794211873520577,14.035165241204613,0.0,0.0,0.0
New Jersey,NJ,2062,ssp245,Medium emissions (SSP245),11.206293748394954,10.508633023199039,0.6976607251959152,33.998946977105426,15.11537493790879,4.794211873520577,10.321163064388212,0.18472098162249137,0.0,0.18472098162249137
New Jersey,NJ,2063,ssp245,Medium emissions (SSP245),12.011200081522912,10.508633023199039,1.5025670583238717,32.346560653899175,18.71615677331656,4.794211873520577,13.921944899795982,0.0,0.0,0.0
New Jersey,NJ,2064,ssp245,Medium emissions (SSP245),12.532486699219604,10.508633023199039,2.023853676020564,32.10391571374942,11.044958882223822,4.794211873520577,6.250747008703244,0.0,0.0,0.0
New Jersey,NJ,2065,ssp245,Medium emissions (SSP245),12.659600440161377,10.508633023199039,2.1509674169623376,32.299580299077874,9.206370418576165,4.794211873520577,4.412158545055587,0.0,0.0,0.0
New Jersey,NJ,2066,ssp245,Medium emissions (SSP245),11.754191854770736,10.508633023199039,1.2455588315716972,32.86872901962996,16.562045431354132,4.794211873520577,11.767833557833555,0.0,0.0,0.0
New Jersey,NJ,2067,ssp245,Medium emissions (SSP245),11.929186474108079,10.508633023199039,1.4205534509090387,32.97047298758882,10.841735203091806,4.794211873520577,6.047523329571228,0.0,0.0,0.0
New Jersey,NJ,2068,ssp245,Medium emissions (SSP245),11.57477883651033,10.508633023199039,1.0661458133112935,33.17157166181915,12.650130746235806,4.794211873520577,7.85591887271523,0.0,0.0,0.0
New Jersey,NJ,2069,ssp245,Medium emissions (SSP245),11.893571055585731,10.508633023199039,1.3849380323866947,32.986640241160565,16.475691125507048,4.794211873520577,11.68147925198647,0.0,0.0,0.0
New Jersey,NJ,2070,ssp245,Medium emissions (SSP245),12.099112678682127,10.508633023199039,1.5904796554830851,31.52576509868681,9.74941856423709,4.794211873520577,4.955206690716512,0.0,0.0,0.0
New Jersey,NJ,2020,ssp585,High emissions (SSP585),11.187389829621537,11.187389829621537,0.0,30.891852086336353,5.467486492086199,5.467486492086199,0.0,0.0,0.0,0.0
New Jersey,NJ,2021,ssp585,High emissions (SSP585),10.61303501523642,11.187389829621537,-0.5743548143851173,32.39117373669659,8.921944899795982,5.467486492086199,3.4544584077097826,0.0,0.0,0.0
New Jersey,NJ,2022,ssp585,High emissions (SSP585),11.737077478659536,11.187389829621537,0.5496876490380008,32.30584315355739,10.275465316073792,5.467486492086199,4.807978823987592,0.0,0.0,0.0
New Jersey,NJ,2023,ssp585,High emissions (SSP585),11.235752798095895,11.187389829621537,0.048362968474359544,31.500207793949702,5.86023790060133,5.467486492086199,0.392751408515131,0.0,0.0,0.0
New Jersey,NJ,2024,ssp585,High emissions (SSP585),11.594219585199793,11.187389829621537,0.40682975557825596,32.387237270842625,10.31129842265089,5.467486492086199,4.84381193056469,0.0,0.0,0.0
New Jersey,NJ,2025,ssp585,High emissions (SSP585),11.17589945578826,11.187389829621537,-0.011490373833276201,31.29961335601678,4.371267544501791,5.467486492086199,-1.0962189475844084,0.0,0.0,0.0
New Jersey,NJ,2026,ssp585,High emissions (SSP585),10.371455065412764,11.187389829621537,-0.8159347642087711,30.13222980689181,0.9698070794963444,5.467486492086199,-4.4976794125898545,0.0,0.0,0.0
New Jersey,NJ,2027,ssp585,High emissions (SSP585),10.797898745360612,11.187389829621537,-0.38949108426092566,31.988721870966657,4.555988526124282,5.467486492086199,-0.911497965961917,0.0,0.0,0.0
New Jersey,NJ,2028,ssp585,High emissions (SSP585),10.482328031308853,11.187389829621537,-0.7050617983126822,32.495421590171354,7.5330958000105435,5.467486492086199,2.0656093079243436,0.0,0.0,0.0
New Jersey,NJ,2029,ssp585,High emissions (SSP585),11.518253902748196,11.187389829621537,0.3308640731266571,32.41295690115324,7.252068166890584,5.467486492086199,1.7845816748043855,0.0,0.0,0.0
New Jersey,NJ,2030,ssp585,High emissions (SSP585),10.585506550225979,11.187389829621537,-0.6018832793955577,32.16386996072708,7.852937706211414,5.467486492086199,2.3854512141252147,0.0,0.0,0.0
